record_id,collected_title,study_id,canonical_title,original_pathway,original_min,original_max,original_unit,restored_unit,text_locator,table_context,input_provenance,primary_pdf_read_this_run,accepted,disposition,lo,hi,unit,matched_quantity,matched_context,endpoint,reason,conversion_factor,reported_uncertainty_not_assumed_SE,numeric_key,representative_record_id,measurement_scope,stratum,family,corrected_scope,corrected_stratum,status,decision_reason,range_semantics,mapping_level,primary_pdf_reverified,point_document_count,log_point,clean_decision,clean_reason,endpoint_before_cleaning,stratum_before_cleaning,scope_after_cleaning,clean_representative_id,range_use,admission_basis,source_record_id,expanded_quantity_id,admission_note,comparison_group,comparison_basis,center,within_study_reference,comparison_document_count,common_reference,between_document_enabled
PATH-00112,Characterization of tire and road wear particles from road runoff indicates high,TBL-696ab0ae0057,Characterization of tire and road wear particles from road runoff indicates high,Tire & Brake Wear,5.0,5.0,mg/L,mg/L,pathway_parameters_FULL_STRUCTURED.xlsx::8. Environmental Concentrations::row 1434,n road runoff — highly dynamic particle properties [Results] TRWP concentration in road runoff: 0.5-5.0 mg/L [Results] 90% of TRWP particles were <100,table_context_only_not_reverified,False,True,accepted_table_quantity,0.5,5.0,g/m3,0.5-5.0 mg/L,particle properties [Results] TRWP concentration in road runoff: 0.5-5.0 mg/L [Results] 90% of TRWP particles were <100,Urban_water_observation,,1.0,False,TBL-696ab0ae0057|Urban_water_observation|g/m3|0.5|5,PATH-00112,unspecified,Urban_water_observation::g/m3::tire_rubber_mass,Urban_water_observation,tire_rubber_mass,Urban_water_observation::g/m3::tire_rubber_mass,scenario_only,Reported range is not established as a sampling confidence interval,unclassified_range,proxy_family_not_physical_transfer,False,1.0,-0.6931471805599453,retain,Point estimate or explicitly reported finite scenario range,Urban_water_observation,Urban_water_observation::g/m3::unspecified,tire_rubber_mass,PATH-00112,loguniform_scenario_envelope_not_confidence_limits,retained_previous_cleaned_input,PATH-00112,PATH-00112,Point estimate or explicitly reported finite scenario range,road_runoff_TRWP_mass,"Explicit road-runoff tire/road-wear mass concentration; a marker-based proxy, not dissolved chemicals",1.5811388300841898,1.5811388300841898,2,2.040569415042095,True
PATH-00139,Atmospheric transport and deposition of microplastics in a remote mountain catch,TBL-6ceeeace2a6c,Atmospheric transport and deposition of microplastics in a remote mountain catch,Atmospheric,132.0,132.0,,,pathway_parameters_FULL_STRUCTURED.xlsx::6. Atmospheric Deposition::row 1071,"n microplastic particles deposited daily in remote catchment [Results] Atmospheric deposition rate: 132 particles/m2/day (wet), 42 particles/m2/day (d",table_context_only_not_reverified,False,True,accepted_table_quantity,132.0,132.0,items/day/m2,132 particles/m2/day,"daily in remote catchment [Results] Atmospheric deposition rate: 132 particles/m2/day (wet), 42 particles/m2/day (d",Atmospheric_flux,,1.0,False,TBL-6ceeeace2a6c|Atmospheric_flux|items/day/m2|132|132,PATH-00139,wet,Atmospheric_flux::items/day/m2::wet,Atmospheric_flux,wet,Atmospheric_flux::items/day/m2::wet,single_document_summary_only,,point_or_summary,proxy_family_not_physical_transfer,False,1.0,4.882801922586371,retain,Point estimate or explicitly reported finite scenario range,Atmospheric_flux,Atmospheric_flux::items/day/m2::wet,wet,PATH-00139,point_scenario,retained_previous_cleaned_input,PATH-00139,PATH-00139,Point estimate or explicitly reported finite scenario range,MP_deposition_count_wet,"Same deposition phase, count per area per day; location and collection protocols may differ",132.0,132.0,2,71.0,True
PATH-00169,"Tailpipe, resuspended road dust, and brake-wear emission fac",TBL-c4ca1ddd1176,"Tailpipe, resuspended road dust, and brake-wear emission factors from on-road ve",Tire & Brake Wear,2.0,10.0,mg/km,mg/km,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 11211,ion factors [Results] Brake wear: 2-8 mg/km LDV; resuspended dust: 10-50 mg/km [Results] Tire wear: 2-10 mg/km under normal driving conditions,table_context_only_not_reverified,False,True,accepted_table_quantity,0.002,0.008,g/km,2-8 mg/km,ion factors [Results] Brake wear: 2-8 mg/km LDV; resuspended dust: 10-50 mg/km [Results] Tire wear: 2-10 mg/,Brake_emission,,0.001,False,TBL-c4ca1ddd1176|Brake_emission|g/km|0.002|0.008,PATH-00169,unspecified,Brake_emission::g/km::unspecified,Brake_emission,unspecified,Brake_emission::g/km::unspecified,scenario_only,Reported range is not established as a sampling confidence interval,unclassified_range,proxy_family_not_physical_transfer,False,0.0,-6.214608098422191,retain,Point estimate or explicitly reported finite scenario range,Brake_emission,Brake_emission::g/km::unspecified,unspecified,PATH-00169,loguniform_scenario_envelope_not_confidence_limits,retained_previous_cleaned_input,PATH-00169,PATH-00169,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,0.004,0.004,0,0.004,False
PATH-00301,Assessment of Microplastics in a Municipal Wastewater Treatm,TBL-604a22a3b71e,Assessment of Microplastics in a Municipal Wastewater Treatment Plant with Terti,WWTP/Hydrological,64.26,64.26,,,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 674,"Microplastics proved to be 72.41% of total microparticles collected, with a global removal rate of 64.26% after the tertiary treatment and within the",table_context_only_not_reverified,False,True,accepted_table_quantity,0.3573999999999999,0.3573999999999999,fraction,64.26%,"of total microparticles collected, with a global removal rate of 64.26% after the tertiary treatment and within the",Hydrological_transmission,,0.01,False,TBL-604a22a3b71e|Hydrological_transmission|fraction|0.3574|0.3574,PATH-00301,unspecified,Hydrological_transmission::fraction::overall_removal,Hydrological_transmission,overall_removal,Hydrological_transmission::fraction::overall_removal,bootstrap_input,,point_or_summary,proxy_family_not_physical_transfer,False,2.0,-1.0288996762568097,retain,Point estimate or explicitly reported finite scenario range,Hydrological_transmission,Hydrological_transmission::fraction::unspecified,overall_removal,PATH-00301,point_scenario,retained_previous_cleaned_input,PATH-00301,PATH-00301,Point estimate or explicitly reported finite scenario range,whole_plant_total_MP_transmission,Whole-plant total MP transmission only; not fiber-specific or individual-stage removal,0.3573999999999999,0.3158130920080209,2,0.1729065460040104,True
PATH-00405,Microplastic Types in the Wastewater System--A Comparison of,TBL-28d785780950,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,WWTP/Hydrological,33.0,399.0,mg/kg,mg/kg,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 11180,"n the assessment. EF is the emission factor for microplastic ﬁbres during laundering and was set to 33–399 mg/kg for polyester [31–35]. [Page 6 ---, k",table_context_only_not_reverified,False,True,accepted_table_quantity,0.033,0.399,g/kg,33–399 mg/kg," factor for microplastic fibres during laundering and was set to 33–399 mg/kg for polyester [31–35]. [Page 6 ---, k",Textile_release,,0.001,False,TBL-28d785780950|Textile_release|g/kg|0.033|0.399,PATH-00405,unspecified,Textile_release::g/kg::polyester,Textile_release,polyester,Textile_release::g/kg::polyester,scenario_only,Reported range is not established as a sampling confidence interval,unclassified_range,proxy_family_not_physical_transfer,False,1.0,-3.4112477175156566,retain,Point estimate or explicitly reported finite scenario range,Textile_release,Textile_release::g/kg::unspecified,polyester,PATH-00405,loguniform_scenario_envelope_not_confidence_limits,retained_previous_cleaned_input,PATH-00405,PATH-00405,Point estimate or explicitly reported finite scenario range,polyester_laundering_mass_per_kg,"Same synthetic polymer, release per textile mass and wash; washing conditions may differ",0.1147475489934316,0.1147475489934316,4,0.1249894058285045,True
PATH-00542,Development of Tire-Wear Particle Emission Measurements for,TBL-4e2d6dd7d5a4,Development of Tire-Wear Particle Emission Measurements for Passenger Vehicles,Tire & Brake Wear,3.7,3.7,mg/km,mg/km,pathway_parameters_FULL_STRUCTURED.xlsx::1. All Emission Factors::row 102,3.7 mg/ | Context: that the emission factor of the wear particles of the tire used in the test was 3.7 mg/ km-vehicle. The generation ratio of airborn,table_context_only_not_reverified,False,True,accepted_table_quantity,0.0037,0.0037,g/km,3.7 mg/ km,on factor of the wear particles of the tire used in the test was 3.7 mg/ km-vehicle. The generation ratio of airborn,Tire_emission,,0.001,False,TBL-4e2d6dd7d5a4|Tire_emission|g/km|0.0037|0.0037,PATH-00542,unspecified,Tire_emission::g/km::airborne_unspecified_size,Tire_emission,airborne_unspecified_size,Tire_emission::g/km::airborne_unspecified_size,single_document_summary_only,,point_or_summary,proxy_family_not_physical_transfer,False,1.0,-5.599422459331958,retain,Point estimate or explicitly reported finite scenario range,Tire_emission,Tire_emission::g/km::unspecified,airborne_unspecified_size,PATH-00542,point_scenario,retained_previous_cleaned_input,PATH-00542,PATH-00542,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,0.0037,0.0037,0,0.0037,False
PATH-00583,Assessment of Microplastics in a Municipal Wastewater Treatment Plant with Terti,TBL-604a22a3b71e,Assessment of Microplastics in a Municipal Wastewater Treatment Plant with Terti,WWTP Hydrological,95.16,95.16,,,pathway_parameters_FULL_STRUCTURED.xlsx::4. WWTP Removal Efficiencies::row 1666,"tic- targeted treatment units, especially for microfiber removal. [Page 3 ---, keyword: removal efficiency] c); 95.16% (Yang et al. 2019), or 99.9% (C",table_context_only_not_reverified,False,True,accepted_table_quantity,0.0484,0.0484,fraction,95.16%,"icrofiber removal. [Page 3 ---, keyword: removal efficiency] c); 95.16% (Yang et al. 2019), or 99.9% (C",Hydrological_transmission,,0.01,False,TBL-604a22a3b71e|Hydrological_transmission|fraction|0.0484|0.0484,PATH-00583,unspecified,Hydrological_transmission::fraction::fiber_removal,Hydrological_transmission,fiber_removal,Hydrological_transmission::fraction::fiber_removal,single_document_summary_only,,point_or_summary,proxy_family_not_physical_transfer,False,1.0,-3.028255465259551,retain,Point estimate or explicitly reported finite scenario range,Hydrological_transmission,Hydrological_transmission::fraction::unspecified,fiber_removal,PATH-00583,point_scenario,retained_previous_cleaned_input,PATH-00583,PATH-00583,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,0.0484,0.4014999999999999,0,0.4014999999999999,False
PATH-00626,Microplastic Removal from Road Stormwater Runoff using Lab-s,TBL-1b89eab2b93d,Microplastic Removal from Road Stormwater Runoff using Lab-scale Bioretention Ce,Urban Runoff,474.0,474.0,particles/L,particles/L,pathway_parameters_FULL_STRUCTURED.xlsx::7. Transport & Delivery Coeffic::row 2459,rticles/ | Context: ghest concentration was identified in the first sample from a  commercial road (474 particles/L). The average microplastic concent,table_context_only_not_reverified,False,True,accepted_table_quantity,474000.0,474000.0,items/m3,474 particles/L,tion was identified in the first sample from a  commercial road (474 particles/L). The average microplastic concent,Urban_water_observation,,1000.0,False,TBL-1b89eab2b93d|Urban_water_observation|items/m3|474000|474000,PATH-00626,unspecified,Urban_water_observation::items/m3::particle_count,Urban_water_observation,particle_count,Urban_water_observation::items/m3::particle_count,bootstrap_input,,point_or_summary,proxy_family_not_physical_transfer,False,3.0,13.068962600677214,retain,Point estimate or explicitly reported finite scenario range,Urban_water_observation,Urban_water_observation::items/m3::unspecified,particle_count,PATH-00626,point_scenario,retained_previous_cleaned_input,PATH-00626,PATH-00626,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,474000.0,256000.0,0,256000.0,False
PATH-00656,Catchment-scale mechanistic predictions of microplastic tran,TBL-042d36c068a2,Catchment-scale mechanistic predictions of microplastic transport and distributi,Watershed Transport,10.0,10.0,,,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 1808,"Value: 40%, | Context: 67 kg/km2/ha/y). The estimated  average retention efficiency varied between 10%-40%, with a mode at 20% (Figure 4F)  Landscape",table_context_only_not_reverified,False,True,accepted_table_quantity,0.6,0.9,fraction,10-40%,"a/y). The estimated  average retention efficiency varied between 10-40%, with a mode at 20% (Figure 4F)  Landscape",Transport_transmission,,0.01,False,TBL-042d36c068a2|Transport_transmission|fraction|0.6|0.9,PATH-00656,unspecified,Transport_transmission::fraction::landscape_retention,Transport_transmission,unspecified,Transport_transmission::fraction::unspecified,scenario_only,Reported range is not established as a sampling confidence interval,unclassified_range,auxiliary_not_mapped,False,0.0,-0.5108256237659907,retain,Point estimate or explicitly reported finite scenario range,Transport_transmission,Transport_transmission::fraction::unspecified,landscape_retention,PATH-00656,loguniform_scenario_envelope_not_confidence_limits,retained_previous_cleaned_input,PATH-00656,PATH-00656,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,0.7348469228349535,0.7674234614174767,0,0.7674234614174767,False
PATH-00800,Washing load influences the microplastic release from polyester fabrics,TBL-fc56ae904e01,Washing load influences the microplastic release from polyester fabrics,Urban Runoff,420.0,420.0,,,pathway_parameters_FULL_STRUCTURED.xlsx::7. Transport & Delivery Coeffic::row 2684,"nly water was calculated to be 420 ± 2 mg/ kg , 401 ± 17 mg/kg for washings performed using a commercial liquid detergent (DL), 420 ± 54 mg/kg in wash",table_context_only_not_reverified,False,True,accepted_table_quantity,0.42,0.42,g/kg,420 ± 2 mg/ kg,"nly water was calculated to be 420 ± 2 mg/ kg , 401 ± 17 mg/kg for washings performed using a commercial liqui",Textile_release,,0.001,True,TBL-fc56ae904e01|Textile_release|g/kg|0.42|0.42,PATH-00800,unspecified,Textile_release::g/kg::material_unspecified_or_mixed,Textile_release,material_unspecified_or_mixed,Textile_release::g/kg::material_unspecified_or_mixed,bootstrap_input,,point_or_summary,proxy_family_not_physical_transfer,False,4.0,-0.8675005677047231,retain,Point estimate or explicitly reported finite scenario range,Textile_release,Textile_release::g/kg::unspecified,material_unspecified_or_mixed,PATH-00800,point_scenario,retained_previous_cleaned_input,PATH-00800,PATH-00800,Point estimate or explicitly reported finite scenario range,,Unresolved comparability: retain within-document reference only,0.42,0.41,0,0.41,False
