record_id,paper,pathway,vmin,vmax,unit,restored_paper,restored_pathway,restored_unit,restored_value_min,restored_value_max,context_status,restored_context,text_locator,context_source_table,evidence_provenance,Source_title,Source_URL,Local_PDF_context_location,Verification_scope,screening_status,route,reason,verified_observation_id,corrected_target,effective_primary_files,file_repair_does_not_validate_numeric_token
PATH-05073,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,40.0,87.0,%,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,%,40.0,87.0,context_restored_exact_fingerprint,Value: 87%  | Context: 57]. Laundry was the largest source of microplastics and was responsible for 40–87% of the total load to the Sjölunda WWTP (see,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 14836,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based Source Estimates and the Measurement-Based Load to a Wastewater Treatment Plant,https://doi.org/10.3390/su13105404,Microplastic Types in the Wastewater System--A Com.pdf; PDF page(s) 8,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",structural_candidate_not_parameter_verified,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-LAUNDRY,Laundry share of estimated input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-06287,Microplastic Types in the Wastewater System--A Comparison of,Atmospheric,87.0,87.0,,Microplastic Types in the Wastewater System--A Comparison of,Atmospheric,,87.0,87.0,context_restored_exact_fingerprint,ue: 87%  | Context: 57]. Laundry was the largest source of microplastics and was responsible for 40–87% of the total load to the Sjölunda WWTP (see Su,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 4768,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-LAUNDRY,Laundry share of estimated input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-07245,Microplastic Types in the Wastewater System--A Comparison of,WWTP/Hydrological,87.0,87.0,,Microplastic Types in the Wastewater System--A Comparison of,WWTP/Hydrological,,87.0,87.0,context_restored_exact_fingerprint,Sjölunda WWTP in 2017. Another explanation is that the stormwater sources in the source esti Value: 87%  | Context: 57]. Laundry was the largest sourc,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 4767,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-LAUNDRY,Laundry share of estimated input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-10338,Microplastic Types in the Wastewater System--A Comparison of,Atmospheric,97.0,97.0,,Microplastic Types in the Wastewater System--A Comparison of,Atmospheric,,97.0,97.0,context_restored_exact_fingerprint,"ue: 97%  | Context: also an industrial activity, households were estimated to be responsible for 96–97% of the total contribution from laundry. The la",pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 4770,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-HOUSEHOLD-LAUNDRY,Households share within laundry input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-10649,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,96.0,97.0,%,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,%,96.0,97.0,context_restored_exact_fingerprint,"Value: 97%  | Context: also an industrial activity, households were estimated to be responsible for 96–97% of the total contribution from laundry. The",pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 14837,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based Source Estimates and the Measurement-Based Load to a Wastewater Treatment Plant,https://doi.org/10.3390/su13105404,Microplastic Types in the Wastewater System--A Com.pdf; PDF page(s) 8,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",structural_candidate_not_parameter_verified,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-HOUSEHOLD-LAUNDRY,Households share within laundry input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-11798,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,87.0,87.0,%,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,%,87.0,87.0,context_restored_exact_fingerprint,ue: 87%  | Context: 57]. Laundry was the largest source of microplastics and was responsible for 40–87% of the total load to the Sjölunda WWTP (see Su,pathway_parameters_FULL_STRUCTURED.xlsx::12. Source Attribution %::row 242,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based Source Estimates and the Measurement-Based Load to a Wastewater Treatment Plant,https://doi.org/10.3390/su13105404,Microplastic Types in the Wastewater System--A Com.pdf; PDF page(s) 8,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",structural_candidate_not_parameter_verified,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-LAUNDRY,Laundry share of estimated input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-14162,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,97.0,97.0,%,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,%,97.0,97.0,context_restored_exact_fingerprint,"ue: 97%  | Context: also an industrial activity, households were estimated to be responsible for 96–97% of the total contribution from laundry. The la",pathway_parameters_FULL_STRUCTURED.xlsx::12. Source Attribution %::row 243,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based Source Estimates and the Measurement-Based Load to a Wastewater Treatment Plant,https://doi.org/10.3390/su13105404,Microplastic Types in the Wastewater System--A Com.pdf; PDF page(s) 8,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",structural_candidate_not_parameter_verified,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-HOUSEHOLD-LAUNDRY,Households share within laundry input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-16765,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,40.0,87.0,,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,,40.0,87.0,context_restored_exact_fingerprint,"industries in Sweden [57]. Laundry was the largest source of microplastics and was responsible for 40–87% of the total load to the Sjölunda WWTP (see Supplementary Materials Table S3). Although laundry is also an industrial activity, households were estimated to be responsible for 96–97% of the tota",pathway_parameters_STRUCTURED.xlsx::13. Source Contribution Percent::row 459,STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-LAUNDRY,Laundry share of estimated input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-16889,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,96.0,97.0,,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,,96.0,97.0,context_restored_exact_fingerprint,"). Although laundry is also an industrial activity, households were estimated to be responsible for 96–97% of the total contribution from laundry. The large interval for households in Figure 1 can be attributed to the large differences in reported emissions from laundry, which resulted in a large ra",pathway_parameters_STRUCTURED.xlsx::13. Source Contribution Percent::row 460,STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-HOUSEHOLD-LAUNDRY,Households share within laundry input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
PATH-17400,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,97.0,97.0,,Microplastic Types in the Wastewater System--A Comparison of Material Flow-Based,Atmospheric,,97.0,97.0,context_restored_exact_fingerprint,"Although laundry is also an industrial activity, households were estimated to be responsible for 96–97% of the total contribution from laundry. The large interval for households in Figure 1 can be attributed to the large differences in reported emissions from laundry, which resulted in a large range",pathway_parameters_STRUCTURED.xlsx::13. Source Contribution Percent::row 470,STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,,,,,missing_or_ambiguous_unit,verified_numeric_target_corrected,Original extraction retained; corrected receptor/denominator. Not a lake-share observation.,FALT2021-HOUSEHOLD-LAUNDRY,Households share within laundry input to Sjolunda WWTP,Microplastic Types in the Wastewater System--A Com.pdf,True
