text_fp,pathway,vmin,vmax,unit,paper,sheet_short,source_row_id,paper_as_collected,pathway_as_collected,value_min,value_max,unit_as_collected,source_sheet_as_collected,context_status,restored_context,restored_paper,restored_pathway,restored_unit,restored_value_min,restored_value_max,group_original_value_pairs_count,group_units_count,collapsed_values_match_actual_pair,text_locator,context_source_table,evidence_provenance,v4_eligible_context_record,ineligibility_reason,Text_fingerprint,Source_title,Source_URL,Local_PDF_context_location,Verification_scope,record_id,screening_status,source_fraction_review_flag,process_review_tags,used_as_likelihood_observation,likelihood_status
0141a1efa85c480698ca52ff085fe899,WWTP/Hydrological,84.0,84.0,,Assessment of Microplastics in a Municipal Wastewater Treatm,Generic Parameters & Ranges,0141a1efa85c480698ca52ff085fe899,Assessment of Microplastics in a Municipal Wastewater Treatm,WWTP/Hydrological,84.0,84.0,,Generic Parameters & Ranges,context_restored_exact_fingerprint,"ue: 84%  | Context: forms, within the average retention rate in Europe for WWTPs of between 53% and 84% (Hann et al. 2018). Lares et al. (2018) report",Assessment of Microplastics in a Municipal Wastewater Treatm,WWTP/Hydrological,,84.0,84.0,1,0,yes,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 648,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,no,missing_or_ambiguous_unit,,,,,,PATH-00068,missing_or_ambiguous_unit,False,wastewater;removal,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
0159e1809fe39eb4a0a2afbfc0a53413,Watershed Transport,0.67,0.67,kg/km,Catchment-scale mechanistic predictions of microplastic tran,All Emission Factors,0159e1809fe39eb4a0a2afbfc0a53413,Catchment-scale mechanistic predictions of microplastic tran,Watershed Transport,0.67,0.67,kg/km,All Emission Factors,context_restored_exact_fingerprint,"Context: 4 kg/km2/y), respectively (Figure  4E) with a temporal average of the median of 2800 kg/y (0.67 kg/km2/ha/y). The estimated  average retentio",Catchment-scale mechanistic predictions of microplastic tran,Watershed Transport,kg/km,0.67,0.67,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::1. All Emission Factors::row 31,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,0159e1809fe39eb4a0a2afbfc0a53413,Catchment-scale mechanistic predictions of microplastic transport and distribution across land and water,https://doi.org/10.21203/rs.3.rs-1768285/v1,Not located automatically,Exact context and row locator recovered from the original extraction workbook. The source passage has not been independently verified in this selection.,PATH-00075,structural_candidate_not_parameter_verified,False,,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
01e7b86d23de40e09fe83fd233fd3940,Tire & Brake Wear,5.0,5.0,mg/L,Characterization of tire and road wear particles from road runoff indicates high,Environmental Concentrations,01e7b86d23de40e09fe83fd233fd3940,Characterization of tire and road wear particles from road runoff indicates high,Tire & Brake Wear,5.0,5.0,mg/L,Environmental Concentrations,context_restored_exact_fingerprint,n road runoff — highly dynamic particle properties [Results] TRWP concentration in road runoff: 0.5-5.0 mg/L [Results] 90% of TRWP particles were <100,Characterization of tire and road wear particles from road runoff indicates high,Tire & Brake Wear,mg/L,5.0,5.0,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::8. Environmental Concentrations::row 1434,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,,,,,,PATH-00112,structural_candidate_not_parameter_verified,False,runoff,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
025124c09e3df4bcedde0f3e2cda9f95,Atmospheric,132.0,132.0,,Atmospheric transport and deposition of microplastics in a remote mountain catch,Atmospheric Deposition,025124c09e3df4bcedde0f3e2cda9f95,Atmospheric transport and deposition of microplastics in a remote mountain catch,Atmospheric,132.0,132.0,,Atmospheric Deposition,context_restored_exact_fingerprint,"n microplastic particles deposited daily in remote catchment [Results] Atmospheric deposition rate: 132 particles/m2/day (wet), 42 particles/m2/day (d",Atmospheric transport and deposition of microplastics in a remote mountain catch,Atmospheric,,132.0,132.0,1,0,yes,pathway_parameters_FULL_STRUCTURED.xlsx::6. Atmospheric Deposition::row 1071,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,no,missing_or_ambiguous_unit,,,,,,PATH-00139,missing_or_ambiguous_unit,False,deposition,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
02e6874698345cabe9d65e966be86785,Tire & Brake Wear,2.0,10.0,mg/km,"Tailpipe, resuspended road dust, and brake-wear emission fac",Generic Parameters & Ranges,02e6874698345cabe9d65e966be86785,"Tailpipe, resuspended road dust, and brake-wear emission fac",Tire & Brake Wear,2.0,10.0,mg/km,Generic Parameters & Ranges,context_restored_exact_fingerprint,ion factors [Results] Brake wear: 2-8 mg/km LDV; resuspended dust: 10-50 mg/km [Results] Tire wear: 2-10 mg/km under normal driving conditions,"Tailpipe, resuspended road dust, and brake-wear emission fac",Tire & Brake Wear,mg/km,2.0,10.0,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 11211,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,,,,,,PATH-00169,structural_candidate_not_parameter_verified,False,,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
04bb22d8c0196fca71205c950b69129f,Urban Runoff,54.0,54.0,mg/kg,Washing load influences the microplastic release from polyes,Transport & Delivery Coeffic,04bb22d8c0196fca71205c950b69129f,Washing load influences the microplastic release from polyes,Urban Runoff,54.0,54.0,mg/kg,Transport & Delivery Coeffic,context_restored_exact_fingerprint,"± 2 mg/ kg , 401 ± 17 mg/kg for washings performed using a commercial liquid detergent (DL), 420 ± 54 mg/kg in wash- ing trials performed with mild de",Washing load influences the microplastic release from polyes,Urban Runoff,mg/kg,54.0,54.0,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::7. Transport & Delivery Coeffic::row 2251,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,04bb22d8c0196fca71205c950b69129f,Washing load influences the microplastic release from polyester fabrics,https://doi.org/10.1038/s41598-021-98836-6,Washing load influences the microplastic release f.pdf; PDF page(s) 3,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",PATH-00292,structural_candidate_not_parameter_verified,False,,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
04dbcbd73fd5b5e72e24a6787f62de07,WWTP/Hydrological,64.26,64.26,,Assessment of Microplastics in a Municipal Wastewater Treatm,Generic Parameters & Ranges,04dbcbd73fd5b5e72e24a6787f62de07,Assessment of Microplastics in a Municipal Wastewater Treatm,WWTP/Hydrological,64.26,64.26,,Generic Parameters & Ranges,context_restored_exact_fingerprint,"Microplastics proved to be 72.41% of total microparticles collected, with a global removal rate of 64.26% after the tertiary treatment and within the",Assessment of Microplastics in a Municipal Wastewater Treatm,WWTP/Hydrological,,64.26,64.26,1,0,yes,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 674,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,no,missing_or_ambiguous_unit,,,,,,PATH-00301,missing_or_ambiguous_unit,False,removal,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
066b3f8510775e88b753fe21ce69cf37,WWTP/Hydrological,33.0,399.0,mg/kg,Microplastic Types in the Wastewater System--A Comparison of,Generic Parameters & Ranges,066b3f8510775e88b753fe21ce69cf37,Microplastic Types in the Wastewater System--A Comparison of,WWTP/Hydrological,33.0,399.0,mg/kg,Generic Parameters & Ranges,context_restored_exact_fingerprint,"n the assessment. EF is the emission factor for microplastic ﬁbres during laundering and was set to 33–399 mg/kg for polyester [31–35]. [Page 6 ---, k",Microplastic Types in the Wastewater System--A Comparison of,WWTP/Hydrological,mg/kg,33.0,399.0,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::13. Generic Parameters & Ranges::row 11180,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,,,,,,PATH-00405,structural_candidate_not_parameter_verified,False,release,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
06af26219376a48f9ffe9673ecca1d02,Urban Runoff,5.0,5.0,mg/kg,Washing load influences the microplastic release from polyes,Transport & Delivery Coeffic,06af26219376a48f9ffe9673ecca1d02,Washing load influences the microplastic release from polyes,Urban Runoff,5.0,5.0,mg/kg,Transport & Delivery Coeffic,context_restored_exact_fingerprint,"kg of washed fabric (mg/kg) during the washing test was  calculated to range from 401 ± 17 to 76 ± 5 mg/kg, depending on the washing load used as repo",Washing load influences the microplastic release from polyes,Urban Runoff,mg/kg,5.0,5.0,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::7. Transport & Delivery Coeffic::row 2248,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,06af26219376a48f9ffe9673ecca1d02,Washing load influences the microplastic release from polyester fabrics,https://doi.org/10.1038/s41598-021-98836-6,Washing load influences the microplastic release f.pdf; PDF page(s) 2,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",PATH-00422,structural_candidate_not_parameter_verified,False,,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
08b7ced4f4b3d428a612bf13c4137395,Tire & Brake Wear,3.7,3.7,mg/km,Development of Tire-Wear Particle Emission Measurements for,All Emission Factors,08b7ced4f4b3d428a612bf13c4137395,Development of Tire-Wear Particle Emission Measurements for,Tire & Brake Wear,3.7,3.7,mg/km,All Emission Factors,context_restored_exact_fingerprint,3.7 mg/ | Context: that the emission factor of the wear particles of the tire used in the test was 3.7 mg/ km-vehicle. The generation ratio of airborn,Development of Tire-Wear Particle Emission Measurements for,Tire & Brake Wear,mg/km,3.7,3.7,1,1,yes,pathway_parameters_FULL_STRUCTURED.xlsx::1. All Emission Factors::row 102,FULL_STRUCTURED,context_restored_by_exact_text_fingerprint_not_primary_pdf_verified,yes,,08b7ced4f4b3d428a612bf13c4137395,Development of Tire-Wear Particle Emission Measurements for Passenger Vehicles,https://doi.org/10.1007/s40825-020-00181-z,Development of Tire-Wear Particle Emission Measurements for .pdf; PDF page(s) 7,"A normalized 64-character context fragment was located in the local source PDF. This is a text-location check, not a full numerical or source-version audit.",PATH-00542,structural_candidate_not_parameter_verified,False,release,False,Original numeric tokens are not admitted; verified study summaries are a separate linked evidence layer.
