Evidence_ID,Source_row,Reference_ID,Parameter_Category,Parameter_Name,Symbol,Polymer_Type,Particle_Shape,Size_Class_um,Original_Value_Mean,Original_Value_Min,Original_Value_Max,Original_Unit,Standardized_value,Standardized_min,Standardized_max,Standardized_unit,Derivation_Method,Notes,Original_parameter_name,Source_title,Source_URL,Source_Location_extra_field,Decision,Decision_reason,Corrected_source_value,Corrected_source_unit,Transformation_or_correction,Record_role,Evidence_scope,Verification_detail,Source_locator_or_extracted_note,Use_limit,Parameter_type,Prior_verification_note
BOX-0001,2,Besseling_2017,Hydrology,River flow velocity (mean),v_w,NA,NA,NA,0.199,0.00155,0.373,m/s,17193.6,133.92,32227.2,m/d,Empirical,Dommel river; Table S1. Converted: m/s * 86400 = m/d,River flow velocity (mean),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.199,m/s,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river; Table S1. Converted: m/s * 86400 = m/d,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0002,3,Besseling_2017,Hydrology,River discharge,Q,NA,NA,NA,1,NA,NA,m³/s,86400,NA,NA,m³/d,Empirical,Dommel river; Table S1. Converted: *86400,River discharge,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1,m³/s,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river; Table S1. Converted: *86400,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0003,4,Besseling_2017,Hydrology,River length modeled,L,NA,NA,NA,40.3,NA,NA,km,40.3,NA,NA,km,Empirical,Dommel river stretch; Table S1,River length modeled,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",40.3,km,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river stretch; Table S1,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0004,5,Besseling_2017,Hydrology,River depth (min),H_min,NA,NA,NA,0.4,NA,NA,m,0.4,NA,NA,m,Empirical,Dommel river minimum; Table S1,River depth (min),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",0.4,m,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river minimum; Table S1,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0005,6,Besseling_2017,Hydrology,River depth (max),H_max,NA,NA,NA,3.6,NA,NA,m,3.6,NA,NA,m,Empirical,Dommel river maximum; Table S1,River depth (max),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",3.6,m,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river maximum; Table S1,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0006,7,Besseling_2017,Hydrology,River width (min),W_min,NA,NA,NA,8,NA,NA,m,8,NA,NA,m,Empirical,Dommel river; Table S1,River width (min),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",8,m,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river; Table S1,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0007,8,Besseling_2017,Hydrology,River width (max),W_max,NA,NA,NA,288,NA,NA,m,288,NA,NA,m,Empirical,Dommel river; Table S1,River width (max),Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",288,m,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.13, Table S1.",Dommel river; Table S1,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The Dommel model length, discharge, flow velocity, width or depth matches SI Table S1, PDF p. 13. Values and bounds remain tied to that model setting."
BOX-0011,12,Besseling_2017,Hydrology,Water temperature,T,NA,NA,NA,284.7,NA,NA,K,284.7,NA,NA,K,Empirical,10-yr avg Dommel 2000-2010; Table S5,Water temperature,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",284.7,K,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",10-yr avg Dommel 2000-2010; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"SI Table S5, PDF p. 24, reports 284.7 K as the ten-year average Dommel water temperature used by the model."
BOX-0012,13,Besseling_2017,Hydrology,Water dynamic viscosity,mu,NA,NA,NA,1.2552E-03,NA,NA,kg/(s*m),1.2552E-03,NA,NA,kg/(s*m),Empirical,At 11.7 deg C; Weast & Astle 1980; Table S5,Water dynamic viscosity,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",1.2552E-03,kg/(s*m),No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",At 11.7 deg C; Weast & Astle 1980; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
BOX-0013,14,Besseling_2017,Hydrology,Water density,rho_w,NA,NA,NA,999.447,NA,NA,kg/m3,999.447,NA,NA,kg/m3,Empirical,At 11.7 deg C; Table S5,Water density,Fate of nano- and microplastic in freshwater systems: a modeling study,https://doi.org/10.1016/j.envpol.2016.10.001,,selected,"structured value, unit, parameter/object context and source note are retained; scope is stated rather than inferred",999.447,kg/m3,No v5 value/unit correction applied; original source-table fields are retained separately.,reported_measurement_or_study_statistic,v5_local_pdf_read_with_retained_locator,"v5 personally read local Besseling supplementary PDF; SI PDF p.24, Table S5.",At 11.7 deg C; Table S5,"Source- and scenario-specific evidence. It is not a universal lake parameter, a pooled distribution, or an input to PathwayAttribution v7.",Source model setting or physical parameter,"The named parameter, reported value and unit match the Table S5 entry; default or fitted settings remain source model inputs."
