Metric,Lower_value,Upper_value,Unit,Currency,Geography,Context,Scope,Source_title,Source_URL,Source_location,Source_year,Year_in_source_dataset,Price_year_status,Verification_basis,Record_ID,Record_origin
MBBR,0.39,0.39,USD/m3 treated water,USD,Egyptian WWTP simulation case,"Results table reports treated-water prices: ICEAS 0.47, MBBR 0.39, CMAS 0.48 USD/m3.","Simulation-based comparison, useful as method-level example rather than observed accounting data.",Economic comparison between wastewater treatment systems using GPS-X simulation,https://www.deswater.com/DWT_articles/vol_264_papers/264_2022_91.pdf,PDF local text / article results table; previously extracted lines 30-36,2022,2022,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_GPSX_MBBR,39-row core
ICEAS,0.47,0.47,USD/m3 treated water,USD,Egyptian WWTP simulation case,"Results table reports treated-water prices: ICEAS 0.47, MBBR 0.39, CMAS 0.48 USD/m3.","Simulation-based comparison, useful as method-level example rather than observed accounting data.",Economic comparison between wastewater treatment systems using GPS-X simulation,https://www.deswater.com/DWT_articles/vol_264_papers/264_2022_91.pdf,PDF local text / article results table; previously extracted lines 30-36,2022,2022,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_GPSX_ICEAS,39-row core
CMAS / activated sludge,0.48,0.48,USD/m3 treated water,USD,Egyptian WWTP simulation case,"Results table reports treated-water prices: ICEAS 0.47, MBBR 0.39, CMAS 0.48 USD/m3.","Simulation-based comparison, useful as method-level example rather than observed accounting data.",Economic comparison between wastewater treatment systems using GPS-X simulation,https://www.deswater.com/DWT_articles/vol_264_papers/264_2022_91.pdf,PDF local text / article results table; previously extracted lines 30-36,2022,2022,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_GPSX_CMAS,39-row core
conventional activated sludge,0.082,0.082,USD/m3 treated wastewater,USD,Alexandria wastewater reuse alternatives,"Table 11 reports treated-wastewater costs for CAS, MBR and MBR-N as 0.082, 0.115 and 0.133 USD/m3.",,Economic analysis of wastewater treatment and reuse alternatives in Egypt,https://doi.org/10.3390/su132313125,Table 11,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_ALEX_CAS,39-row core
MBR,0.115,0.115,USD/m3 treated wastewater,USD,Alexandria wastewater reuse alternatives,"Table 11 reports treated-wastewater costs for CAS, MBR and MBR-N as 0.082, 0.115 and 0.133 USD/m3.",,Economic analysis of wastewater treatment and reuse alternatives in Egypt,https://doi.org/10.3390/su132313125,Table 11,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_ALEX_MBR,39-row core
MBR with nitrification/advanced nutrient treatment,0.133,0.133,USD/m3 treated wastewater,USD,Alexandria wastewater reuse alternatives,"Table 11 reports treated-wastewater costs for CAS, MBR and MBR-N as 0.082, 0.115 and 0.133 USD/m3.",,Economic analysis of wastewater treatment and reuse alternatives in Egypt,https://doi.org/10.3390/su132313125,Table 11,2021,2021,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_EGYPT_ALEX_MBR_N,39-row core
anaerobic baffled reactor,0.0448,0.0448,USD/m3,USD,"Addis Ababa, Koye-Feche ABR","Table 1 reports total treatment costs including Koye-Feche ABR 0.0448, Kotebe WSP 0.0684, Kality UASB-TF 0.0945 and Arabsa MBR 0.5463 USD/m3.",,Performance of four wastewater treatment plants serving Ethiopia's capital city Addis Ababa,https://iwaponline.com/washdev/article/15/2/127/106871/Performance-of-four-wastewater-treatment-plants ; https://doi.org/10.2166/washdev.2025.093,Table 1,2025,2025,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_ETH_KOYE_ABR,39-row core
waste stabilization pond,0.0684,0.0684,USD/m3,USD,"Addis Ababa, Kotebe WSP","Table 1 reports total treatment costs including Koye-Feche ABR 0.0448, Kotebe WSP 0.0684, Kality UASB-TF 0.0945 and Arabsa MBR 0.5463 USD/m3.",,Performance of four wastewater treatment plants serving Ethiopia's capital city Addis Ababa,https://iwaponline.com/washdev/article/15/2/127/106871/Performance-of-four-wastewater-treatment-plants ; https://doi.org/10.2166/washdev.2025.093,Table 1,2025,2025,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_ETH_KOTEBE_WSP,39-row core
UASB + trickling filter,0.0945,0.0945,USD/m3,USD,"Addis Ababa, Kality UASB-TF","Table 1 reports total treatment costs including Koye-Feche ABR 0.0448, Kotebe WSP 0.0684, Kality UASB-TF 0.0945 and Arabsa MBR 0.5463 USD/m3.",,Performance of four wastewater treatment plants serving Ethiopia's capital city Addis Ababa,https://iwaponline.com/washdev/article/15/2/127/106871/Performance-of-four-wastewater-treatment-plants ; https://doi.org/10.2166/washdev.2025.093,Table 1,2025,2025,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_ETH_KALITY_UASB_TF,39-row core
MBR,0.5463,0.5463,USD/m3,USD,"Addis Ababa, Arabsa MBR","Table 1 reports total treatment costs including Koye-Feche ABR 0.0448, Kotebe WSP 0.0684, Kality UASB-TF 0.0945 and Arabsa MBR 0.5463 USD/m3.",,Performance of four wastewater treatment plants serving Ethiopia's capital city Addis Ababa,https://iwaponline.com/washdev/article/15/2/127/106871/Performance-of-four-wastewater-treatment-plants ; https://doi.org/10.2166/washdev.2025.093,Table 1,2025,2025,Not independently established from cited evidence,"Existing source-evidence record with current metric, unit and context review; not an exhaustive new full-text audit.",WWTP_ETH_ARABSA_MBR,39-row core
