Source_lake_row,Lake_lon,Lake_lat,OSM_locations_25km,Nearest_OSM_km,Nearest_OSM_lon,Nearest_OSM_lat,Nearest_OSM_name,Nearest_OSM_tags,OSM_source_region
16,-72.226305,-39.273695,3,2.977701,-72.25559796,-39.25952181,Piscicultura Los Ríos,"landuse=aquaculture, name=Piscicultura Los Ríos",south-america
95,-72.159292,-39.155391,3,14.242154,-72.25559796,-39.25952181,Piscicultura Los Ríos,"landuse=aquaculture, name=Piscicultura Los Ríos",south-america
100,-72.455425,-39.775742,2,18.819902,-72.55934144,-39.9251241,NA,"landuse=aquaculture, produce=fish",south-america
106,-72.14274,-40.234667,1,18.25259,-72.08065958,-40.39202504,Piscicultura Nilahue,"landuse=aquaculture, name=Piscicultura Nilahue, produce=fish",south-america
109,-72.00394,-40.412191,1,6.887002,-72.08065958,-40.39202504,Piscicultura Nilahue,"landuse=aquaculture, name=Piscicultura Nilahue, produce=fish",south-america
113,-70.753766,-40.586279,11,19.738558,-70.97660289,-40.63878418,NA,"amenity=animal_breeding, animal_breeding=fish, aquaculture=fish, description=Criadero de truchas, landuse=aquaculture",south-america
116,-71.289641,-40.660363,6,23.178488,-71.01713659,-40.68309873,NA,"amenity=animal_breeding, animal_breeding=fish, aquaculture=fish, description=Criadero de truchas, landuse=aquaculture",south-america
122,-72.579853,-41.435114,5,21.538504,-72.3239033,-41.45797146,NA,"landuse=aquaculture, source=Bing",south-america
123,-72.16847,-41.648562,14,13.329132,-72.3272099,-41.63361626,NA,"landuse=aquaculture, source=Bing",south-america
147,-73.072564,-44.413802,17,14.239043,-72.90036614,-44.37948688,NA,"landuse=aquaculture, source=Bing",south-america
150,-74.377083,-45.073677,7,6.583802,-74.3209106,-45.0298106,Centro “James 711”,"aquaculture=fish, landuse=aquaculture, name=Centro “James 711”",south-america
151,-72.968638,-45.138215,4,21.116791,-73.11077036,-45.29949878,"Centro ""Rodado Notable"" - Marine Harvest","landuse=aquaculture, name=Centro ""Rodado Notable"" - Marine Harvest, name:en=Centro ""Rodado Notable"" - Marine Harvest, phone=+56228821669, website=http://www.marineharvest.cl",south-america
152,-72.703509,-45.509438,20,10.036986,-72.82092564,-45.47289378,NA,"landuse=aquaculture, source=Bing",south-america
1037,-73.170234,-39.621265,1,21.508365,-73.25458184,-39.80370129,Piscicultura,"landuse=aquaculture, name=Piscicultura, operator=Facultad de Medicina Veterinaria UACh",south-america
1038,-73.177227,-39.655656,1,17.724721,-73.25458184,-39.80370129,Piscicultura,"landuse=aquaculture, name=Piscicultura, operator=Facultad de Medicina Veterinaria UACh",south-america
1040,-73.189874,-39.684662,5,14.333419,-73.25458184,-39.80370129,Piscicultura,"landuse=aquaculture, name=Piscicultura, operator=Facultad de Medicina Veterinaria UACh",south-america
1041,-73.188615,-39.701827,5,12.645235,-73.25458184,-39.80370129,Piscicultura,"landuse=aquaculture, name=Piscicultura, operator=Facultad de Medicina Veterinaria UACh",south-america
1043,-73.200593,-39.718263,9,10.554213,-73.25458184,-39.80370129,Piscicultura,"landuse=aquaculture, name=Piscicultura, operator=Facultad de Medicina Veterinaria UACh",south-america
1064,-71.93761,-40.508662,1,17.748358,-72.08065958,-40.39202504,Piscicultura Nilahue,"landuse=aquaculture, name=Piscicultura Nilahue, produce=fish",south-america
1066,-71.939583,-40.514849,1,18.144575,-72.08065958,-40.39202504,Piscicultura Nilahue,"landuse=aquaculture, name=Piscicultura Nilahue, produce=fish",south-america
1092,-72.252385,-41.269239,3,16.106244,-72.28740324,-41.41183966,NA,"landuse=aquaculture, source=Bing",south-america
1106,-72.601992,-41.514545,19,21.002378,-72.63821158,-41.70167966,NA,"landuse=aquaculture, source=Bing",south-america
1113,-73.092708,-41.684965,8,7.198886,-73.066751,-41.6231416,“Centro Ilque” - Granja Marina Tornagaleones,"aquaculture=fish, landuse=aquaculture, name=“Centro Ilque” - Granja Marina Tornagaleones",south-america
1117,-72.199099,-41.782237,8,18.895844,-72.39700814,-41.69873716,NA,"landuse=aquaculture, source=Bing",south-america
1120,-72.338467,-41.844266,15,16.880708,-72.39700814,-41.69873716,NA,"landuse=aquaculture, source=Bing",south-america
1122,-72.460996,-41.867363,19,16.039173,-72.5583095,-41.74265588,NA,"landuse=aquaculture, source=Bing",south-america
1131,-73.465625,-42.203119,12,6.758847,-73.4219594,-42.1516637,Curvita,"landuse=aquaculture, name=Curvita",south-america
1153,-73.780967,-42.718693,7,10.852213,-73.6692261,-42.6662615,Teupa,"landuse=aquaculture, name=Teupa",south-america
1159,-73.781263,-42.806238,6,18.054484,-73.6692261,-42.6662615,Teupa,"landuse=aquaculture, name=Teupa",south-america
1161,-73.545575,-42.820661,7,14.186618,-73.5786098,-42.6952965,Detif,"landuse=aquaculture, name=Detif",south-america
1172,-73.719718,-42.958451,1,23.243805,-73.4379137,-42.9282069,Centro Ensenada,"aquaculture=fish, email=ensenada@yadran.cl, landuse=aquaculture, name=Centro Ensenada, phone=+56652352112, website=https://yadran.cl/",south-america
1209,-74.04537,-43.876433,1,21.456497,-73.829027,-43.9897802,Betecoi,"landuse=aquaculture, name=Betecoi",south-america
1217,-72.775306,-44.165492,5,17.67722,-72.89452168,-44.29951258,NA,"landuse=aquaculture, source=Bing",south-america
1219,-72.49273,-44.198145,1,16.035427,-72.57359562,-44.33023876,NA,"landuse=aquaculture, source=Bing",south-america
1225,-73.706844,-44.261259,5,2.752154,-73.7363642,-44.2484799,MarineFarm 11,"landuse=aquaculture, name=MarineFarm 11",south-america
1229,-73.821247,-44.339662,1,12.188085,-73.7363642,-44.2484799,MarineFarm 11,"landuse=aquaculture, name=MarineFarm 11",south-america
1232,-73.118154,-44.420672,16,17.943551,-72.90036614,-44.37948688,NA,"landuse=aquaculture, source=Bing",south-america
1234,-72.535316,-44.464552,11,6.445907,-72.5912894,-44.4226353,Piscicultura Rio Union,"landuse=aquaculture, name=Piscicultura Rio Union",south-america
1237,-72.97046,-44.518195,12,13.418069,-72.8503697,-44.43341512,NA,"landuse=aquaculture, source=Bing",south-america
1241,-74.280068,-44.635273,1,22.540226,-74.0438847,-44.7482264,Centro “Benjamin 745” - Yadran,"aquaculture=fish, landuse=aquaculture, name=Centro “Benjamin 745” - Yadran",south-america
1244,-74.236458,-44.657247,1,18.307022,-74.0438847,-44.7482264,Centro “Benjamin 745” - Yadran,"aquaculture=fish, landuse=aquaculture, name=Centro “Benjamin 745” - Yadran",south-america
1245,-73.342084,-44.657259,13,10.538184,-73.3657287,-44.5639427,NA,"landuse=aquaculture, source=Bing",south-america
1247,-73.255651,-44.709272,13,9.029608,-73.30790998,-44.78148942,NA,"landuse=aquaculture, source=Bing",south-america
1249,-74.317152,-44.775452,1,21.845844,-74.0438847,-44.7482264,Centro “Benjamin 745” - Yadran,"aquaculture=fish, landuse=aquaculture, name=Centro “Benjamin 745” - Yadran",south-america
1251,-72.661458,-44.798321,13,6.856358,-72.6912609,-44.74039048,NA,"landuse=aquaculture, source=Bing",south-america
1252,-72.65433,-44.878976,12,15.669475,-72.69287134,-44.74066716,NA,"landuse=aquaculture, source=Bing",south-america
1253,-72.854591,-44.886857,13,7.9622,-72.86119453,-44.8153628,NA,"landuse=aquaculture, source=Bing",south-america
1254,-72.584315,-44.896467,7,19.297288,-72.6912609,-44.74039048,NA,"landuse=aquaculture, source=Bing",south-america
1256,-72.881614,-44.938977,11,12.132964,-73.02479338,-44.89933938,NA,"landuse=aquaculture, source=Bing",south-america
1259,-74.300759,-44.976599,5,6.123219,-74.3209106,-45.0298106,Centro “James 711”,"aquaculture=fish, landuse=aquaculture, name=Centro “James 711”",south-america
1261,-73.720152,-45.083885,21,4.796143,-73.7430543,-45.0438966,Melchor 4-Australis Mar,"landuse=aquaculture, name=Melchor 4-Australis Mar",south-america
1263,-73.784483,-45.205602,13,8.394743,-73.67969784,-45.1908656,NA,"landuse=aquaculture, source=Bing",south-america
1264,-72.978125,-45.209311,21,14.452666,-73.11077036,-45.29949878,"Centro ""Rodado Notable"" - Marine Harvest","landuse=aquaculture, name=Centro ""Rodado Notable"" - Marine Harvest, name:en=Centro ""Rodado Notable"" - Marine Harvest, phone=+56228821669, website=http://www.marineharvest.cl",south-america
1265,-73.810572,-45.215204,9,10.403124,-73.9297243,-45.2561291,Centro chivato 2,"landuse=aquaculture, name=Centro chivato 2",south-america
1270,-74.056213,-45.289521,11,10.596857,-73.9297243,-45.2561291,Centro chivato 2,"landuse=aquaculture, name=Centro chivato 2",south-america
1271,-74.068608,-45.310315,13,9.723099,-74.1529639,-45.3744631,Centro Butan 7,"landuse=aquaculture, name=Centro Butan 7",south-america
1273,-73.916113,-45.315839,8,6.721371,-73.9297243,-45.2561291,Centro chivato 2,"landuse=aquaculture, name=Centro chivato 2",south-america
