Parameter_or_observation,Reported_value,Lower_value,Upper_value,Unit,Statistic_or_uncertainty,Pathway,Source_citation,Source_URL,Source_location,Applicability_limit,Verification_basis,Selection_ID,Source_record,Read_by_PathwayAttribution_v7
Average daily microplastic deposition at the remote Pyrenees field site; particles >=5 um.,365.0,,,particles m^-2 day^-1,SD 69,Atmospheric deposition,"Allen et al. (2019), Atmospheric transport and deposition of microplastics in a remote mountain catchment, Nature Geoscience, DOI 10.1038/s41561-019-0335-5.",https://doi.org/10.1038/s41561-019-0335-5,"PDF p. 8, Results; local extracted-data page label 8",Site- and size-threshold-specific observed deposition; not a global deposition coefficient and not an input read by PathwayAttribution v7.,Rechecked in this V3 review against local full text,V3-PATH-001,flux_atm_observed,no
Overall removal rate for all measured microplastic forms across a full-scale tertiary WWTP.,64.26,,,%,Not reported with a confidence interval in the cited passage,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,"Published article, Sections 3.1 and 4",One tertiary-treatment plant; neither a universal removal efficiency nor an input read by PathwayAttribution v7.,Rechecked in this V3 review against local full text,V3-PATH-002,wwtp_removal_all_forms,no
Mean microplastic concentration in influent samples at the same full-scale tertiary WWTP.,2.74,,,items L^-1,SE 0.49,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,"Published article, Sections 3.1 and 4",One plant and sampling protocol; no direct conversion to a lake flux is supplied here.,Rechecked in this V3 review against local full text,V3-PATH-003,wwtp_influent_mp,no
Mean microplastic concentration in effluent samples at the same full-scale tertiary WWTP.,0.98,,,items L^-1,SE 0.27,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,"Published article, Sections 3.1 and 4",One plant and sampling protocol; no direct conversion to a lake flux is supplied here.,Rechecked in this V3 review against local full text,V3-PATH-004,wwtp_effluent_mp,no
Removal percentage for particulate microplastic forms in the same tertiary WWTP.,90.03,,,%,Not reported for this removal percentage,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,"Published article, Sections 3.1 and 4",Shape-specific result from one tertiary WWTP; it must not be pooled with fibre removal without a stated weighting rule.,Rechecked in this V3 review against local full text,V3-PATH-005,wwtp_removal_particulate_forms,no
Removal efficiency for microfibres in the same tertiary WWTP.,56.16,,,%,Not reported for this removal percentage,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,"Published article, Sections 3.1 and 4",Shape-specific result from one tertiary WWTP; it must not be pooled with particulate removal without a stated weighting rule.,Rechecked in this V3 review against local full text,V3-PATH-006,wwtp_removal_microfibres,no
Observed concentration range of anthropogenic microparticles including microplastics in depth-integrated wet-weather urban stormwater samples from 12 watersheds around San Francisco Bay.,,1.1,24.6,particles L^-1,Range across samples,Urban stormwater runoff,"Werbowski et al. (2021), Urban Stormwater Runoff: A Major Pathway for Anthropogenic Particles, Black Rubbery Fragments, and Other Types of Microplastics to Urban Receiving Waters, ACS ES&T Water, DOI 10.1021/acsestwater.1c00017.",https://doi.org/10.1021/acsestwater.1c00017,"PDF p. 1, Abstract; p. 4, Table S3/Figure 2 discussion","Urban storm-event concentration range, not an emission factor or lake-delivery coefficient; it is not read by PathwayAttribution v7.",Previously source-verified local-PDF record; additionally re-read in this V3 review,V3-PATH-007,urban_stormwater_particle_concentration,no
Calculated daily microplastic release to the environment from the La Aljorra tertiary WWTP.,16000000.0,,,microplastics day^-1,Reported calculated daily emission; no uncertainty reported in the cited passage,WWTP discharge/removal,"Bayo, Olmos and Lopez-Castellanos (2021), Assessment of Microplastics in a Municipal Wastewater Treatment Plant With Tertiary Treatment: Removal Efficiencies and Loading Per Day Into the Environment, Water 13, 1339.",https://doi.org/10.3390/w13101339,Local full text: Abstract and conclusion; report text labels Page 8/22 near final summary,A calculated release estimate for one tertiary WWTP; not a general WWTP emission factor or PathwayAttribution v7 input.,Rechecked in this V3 review against local full text,V3-PATH-008,wwtp_daily_release_estimate,no
Mean concentration of anthropogenic particles in urban stormwater entering a rain garden during three storm events.,1.9,,,particles L^-1,SD 1.4,Urban stormwater runoff mitigation,"Werbowski et al. (2021), Urban Stormwater Runoff: A Major Pathway for Anthropogenic Particles, Black Rubbery Fragments, and Other Types of Microplastics to Urban Receiving Waters, ACS ES&T Water.",https://doi.org/10.1021/acsestwater.1c00017,"Local full text, Results and Discussion, rain-garden case study (PDF p. 6).","Anthropogenic particles, including microplastics, at one rain garden; do not represent pure-microplastic concentration or general stormwater loading.",Rechecked in this V3 review against local full text,V3-PATH-009,stormwater_rain_garden_influent,no
Mean concentration of anthropogenic particles in urban stormwater leaving the same rain garden during three storm events.,0.07,,,particles L^-1,SD 0.04,Urban stormwater runoff mitigation,"Werbowski et al. (2021), Urban Stormwater Runoff: A Major Pathway for Anthropogenic Particles, Black Rubbery Fragments, and Other Types of Microplastics to Urban Receiving Waters, ACS ES&T Water.",https://doi.org/10.1021/acsestwater.1c00017,"Local full text, Results and Discussion, rain-garden case study (PDF p. 6).","Anthropogenic particles, including microplastics, at one rain garden; do not represent pure-microplastic concentration or general stormwater loading.",Rechecked in this V3 review against local full text,V3-PATH-010,stormwater_rain_garden_effluent,no
